,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0,3856_01,Earth,False,F/726/S,,23.0,False,339.0,754.0,7.0,0.0,0.0,Ward Alvasquez,True
1,6110_01,Earth,False,E/389/P,55 Cancri e,57.0,False,0.0,0.0,0.0,0.0,642.0,Sus Warrishales,True
2,6908_01,Europa,False,C/254/S,TRAPPIST-1e,60.0,False,0.0,960.0,46.0,854.0,17074.0,Sheleon Swinvul,False
3,5628_01,Earth,True,G/900/P,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Ebonya Potthews,False
4,1193_02,Europa,True,B/50/S,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,Solam Presstic,True
5,3987_01,Earth,False,F/822/P,TRAPPIST-1e,17.0,False,103.0,2183.0,0.0,16.0,0.0,Irmark Briggston,True
6,5163_02,Earth,False,E/322/P,TRAPPIST-1e,40.0,False,151.0,0.0,713.0,0.0,0.0,Jillie Hewson,True
7,4840_01,,True,F/915/S,TRAPPIST-1e,36.0,False,0.0,0.0,,0.0,0.0,,True
8,5934_01,Earth,False,G/962/P,TRAPPIST-1e,29.0,False,89.0,1725.0,,0.0,3.0,Joanry Mcfaddenson,True
9,2090_01,Earth,False,F/413/P,TRAPPIST-1e,22.0,False,8.0,0.0,801.0,0.0,12.0,Dia Watkinsley,True
10,6763_01,Earth,False,G/1097/P,TRAPPIST-1e,20.0,False,0.0,97.0,725.0,26.0,104.0,Bonyam Berges,True
11,4516_01,Earth,False,F/848/S,55 Cancri e,37.0,False,426.0,0.0,2.0,194.0,308.0,Marky Cleminglas,False
12,5355_01,Earth,False,F/1098/P,TRAPPIST-1e,27.0,False,0.0,686.0,0.0,101.0,9.0,Kerrie Deckley,True
13,2943_01,Earth,True,G/478/P,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,Allene Belley,False
14,5507_01,Mars,False,E/356/S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Blakes Saf,False
15,5808_03,Earth,False,F/1204/P,TRAPPIST-1e,53.0,False,751.0,0.0,,7.0,0.0,Haryn Josey,False
